Uniprot ID	Gene	UniprotKB Keywords ID	UniprotKB Keywords Name	GO Keywords ID	GO Keywords Name
P08684	CYP3A4	KW-0503|KW-0560	Monooxygenase|Oxidoreductase	GO:0034875|GO:0019899|GO:0101020|GO:0020037|GO:0005506|GO:0004497|GO:0016491|GO:0016712|GO:0019825|GO:0005496|GO:0008395|GO:0050649|GO:0070576|GO:0030343	caffeine oxidase activity|enzyme binding|estrogen 16-alpha-hydroxylase activity|heme binding|iron ion binding|monooxygenase activity|oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxygen binding|steroid binding|steroid hydroxylase activity|testosterone 6-beta-hydroxylase activity|vitamin D 24-hydroxylase activity|vitamin D3 25-hydroxylase activity
P51570	GALK1	KW-0418|KW-0808	Kinase|Transferase	GO:0005524|GO:0004335|GO:0005534	ATP binding|galactokinase activity|galactose binding
P42574	CASP3	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0004190|GO:0004861|GO:0008656|GO:0004197|GO:0097153|GO:0097199|GO:0097200|GO:0005123|GO:0008233|GO:0016005|GO:0002020|GO:0044877	aspartic-type endopeptidase activity|cyclin-dependent protein serine/threonine kinase inhibitor activity|cysteine-type endopeptidase activator activity involved in apoptotic process|cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in apoptotic process|cysteine-type endopeptidase activity involved in apoptotic signaling pathway|cysteine-type endopeptidase activity involved in execution phase of apoptosis|death receptor binding|peptidase activity|phospholipase A2 activator activity|protease binding|protein-containing complex binding
P29466	CASP1	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0050700|GO:0008656|GO:0004197|GO:0097153|GO:0004175|GO:0042802|GO:0019900	CARD domain binding|cysteine-type endopeptidase activator activity involved in apoptotic process|cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in apoptotic process|endopeptidase activity|identical protein binding|kinase binding
P49662	CASP4	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0050700|GO:0004197|GO:0097153	CARD domain binding|cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in apoptotic process
P55210	CASP7	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0004197|GO:0097200|GO:0008234|GO:0008233	cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in execution phase of apoptosis|cysteine-type peptidase activity|peptidase activity
P55212	CASP6	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0004197|GO:0097200|GO:0008234|GO:0042802	cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in execution phase of apoptosis|cysteine-type peptidase activity|identical protein binding
P51878	CASP5	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0004197|GO:0097153|GO:0008234	cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in apoptotic process|cysteine-type peptidase activity
Q14790	CASP8	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0004197|GO:0097153|GO:0097199|GO:0097200|GO:0008234|GO:0035877|GO:0005123|GO:0042802|GO:0008233|GO:0044877|GO:0097110|GO:0005164|GO:0031625	cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in apoptotic process|cysteine-type endopeptidase activity involved in apoptotic signaling pathway|cysteine-type endopeptidase activity involved in execution phase of apoptosis|cysteine-type peptidase activity|death effector domain binding|death receptor binding|identical protein binding|peptidase activity|protein-containing complex binding|scaffold protein binding|tumor necrosis factor receptor binding|ubiquitin protein ligase binding
P42575	CASP2	KW-0378|KW-0645|KW-0788	Hydrolase|Protease|Thiol protease	GO:0004197|GO:0097200|GO:0019899|GO:0042802|GO:0019904	cysteine-type endopeptidase activity|cysteine-type endopeptidase activity involved in execution phase of apoptosis|enzyme binding|identical protein binding|protein domain specific binding
P56718	Hcrtr1	KW-0297|KW-0675|KW-0807	G-protein coupled receptor|Receptor|Transducer	GO:0016499|GO:0017046	orexin receptor activity|peptide hormone binding
